Name,HighwayType,GeometryType,Lat,Lon,City
Kingsway Drive,tertiary,LineString,43.42311936,-80.44272484000001,Kitchener
First Avenue,tertiary,LineString,43.43506846666667,-80.45626056666667,Kitchener
Eckert Street,tertiary,LineString,43.434404400000005,-80.45867476666666,Kitchener
Greenfield Avenue,residential,LineString,43.42513086,-80.44318793999999,Kitchener
Gaukel Street,unclassified,LineString,43.450843225,-80.4926889,Kitchener
Westheights Drive,tertiary,LineString,43.42777475,-80.53030676666667,Kitchener
Eastforest Trail,tertiary,LineString,43.43133452608696,-80.53536030000001,Kitchener
Resurrection Drive,residential,LineString,43.43713756111111,-80.55082775,Kitchener
Parkland Crescent,residential,LineString,43.41452073888889,-80.53592397777778,Kitchener
Toynbee Crescent,residential,LineString,43.41412301923078,-80.53330303846153,Kitchener
Oprington Drive,residential,LineString,43.43379388181818,-80.53243687272726,Kitchener
Water Street South,residential,LineString,43.448263100000005,-80.49629191428572,Kitchener
West Avenue,residential,LineString,43.44393246666666,-80.50499876666667,Kitchener
Dominion Street,unclassified,LineString,43.45182543333333,-80.50863033333333,Kitchener
Brybeck Crescent,residential,LineString,43.444636175862065,-80.51750259655171,Kitchener
Dalegrove Drive,residential,LineString,43.44041876086956,-80.53009380434783,Kitchener
Ingleside Drive,residential,LineString,43.440115552631575,-80.53169077894736,Kitchener
Shadeland Crescent,residential,LineString,43.44076539999999,-80.53481333529412,Kitchener
Ingleside Place,residential,LineString,43.43951805,-80.53139665,Kitchener
Ingleside Place,residential,LineString,43.43901927894738,-80.53088314210527,Kitchener
Monte Carlo Street,residential,LineString,43.436122600000004,-80.52562587058823,Kitchener
Fenwick Court,residential,LineString,43.43811135555555,-80.52942971111112,Kitchener
Lynnhaven Court,residential,LineString,43.43850629166666,-80.527304575,Kitchener
Lynnhaven Court,residential,LineString,43.43858254444445,-80.52821057222222,Kitchener
Fenwick Court,residential,LineString,43.43775377647058,-80.52757987058824,Kitchener
Catalina Court,residential,LineString,43.43607776666667,-80.52638241666666,Kitchener
Catalina Court,residential,LineString,43.43583052307693,-80.52716008461539,Kitchener
Calais Place,residential,LineString,43.435184625000005,-80.52579215,Kitchener
Calais Place,residential,LineString,43.43488473888888,-80.5264692777778,Kitchener
Daytona Street,residential,LineString,43.4358455,-80.52506166666666,Kitchener
Caprice Court,residential,LineString,43.4345117,-80.5251751,Kitchener
Caprice Court,residential,LineString,43.43390982727273,-80.52578722727273,Kitchener
